date,low,high,open,coinbase_close,coinbase_volume
2023-09-24,63.26,65.12,65.08,63.56,61371.88723477
2023-09-25,62.57,65.04,63.57,64.34,84948.63756226
2023-09-26,63.05,65.08,64.32,63.78,81624.39323313
2023-09-27,63.02,65.5,63.76,63.5,90698.13705235
2023-09-28,63.11,65.5,63.52,65.23,104590.42561034
2023-09-29,64.9,66.49,65.22,65.54,99016.97028421
2023-09-30,65.35,66.6,65.54,65.97,58303.32090882
2023-10-01,65.82,68.82,65.97,68.16,110627.27538446
2023-10-02,65.16,68.4,68.16,66.0,123594.60922539
2023-10-03,65.25,66.91,66.0,65.51,99089.54666802
2023-10-04,63.15,65.52,65.5,64.4,111624.53658564
2023-10-05,63.77,65.29,64.4,64.81,72593.63659412
2023-10-06,64.38,66.02,64.81,65.53,77102.16280875
2023-10-07,64.98,66.28,65.53,65.51,52899.74209438
2023-10-08,65.01,66.03,65.5,65.4,56435.23865088
2023-10-09,61.6,65.42,65.4,63.09,111149.39106985
2023-10-10,62.58,63.84,63.09,63.62,85457.77446823
2023-10-11,61.08,63.76,63.62,61.53,192622.11467331
2023-10-12,60.33,61.55,61.55,61.12,104970.57707899
2023-10-13,61.05,62.16,61.13,61.58,85851.55516928
2023-10-14,61.37,61.98,61.57,61.61,49383.59319634
2023-10-15,61.37,62.19,61.62,61.64,52859.13260771
2023-10-16,61.57,66.33,61.65,63.24,245859.49822363
2023-10-17,61.4,63.36,63.24,62.09,130049.17887818
2023-10-18,60.0,62.84,62.09,60.21,141101.22711994
2023-10-19,59.73,61.97,60.22,61.79,108238.87038411
2023-10-20,61.61,64.32,61.8,63.42,220126.88330454
2023-10-21,63.37,65.42,63.42,64.77,105025.30131362
2023-10-22,63.17,66.35,64.77,65.3,139905.438606
2023-10-23,64.9,69.98,65.3,69.04,354853.05458156
2023-10-24,67.18,72.85,69.04,69.14,303318.03189004
2023-10-25,67.73,70.42,69.14,68.74,202228.68442895
2023-10-26,66.13,70.64,68.74,68.76,229318.67802905
2023-10-27,65.59,68.83,68.76,67.03,151173.1017915
2023-10-28,66.97,68.41,67.03,67.74,134756.63993671
2023-10-29,67.02,69.33,67.74,68.82,105461.89540364
2023-10-30,67.66,69.82,68.81,69.25,127134.06105192
2023-10-31,67.6,70.56,69.25,68.91,146097.15029049
2023-11-01,66.53,70.49,68.91,69.97,269518.86452108
2023-11-02,67.43,70.8,69.96,69.46,260393.0519114
2023-11-03,67.51,69.59,69.44,69.5,100906.43920666
2023-11-04,68.79,75.88,69.5,70.51,107501.08402085
2023-11-05,69.96,72.39,70.51,71.68,162944.84706643
2023-11-06,70.85,74.97,71.66,74.47,163213.94113745
2023-11-07,71.07,74.56,74.47,73.45,163029.02312988
2023-11-08,72.48,74.33,73.44,73.1,124855.49810142
