"time","equity","fundingRate","annualized","inPosition","spot","mark"
"1774360800000","101193.33240986535","1.59194521454006E-07","0.0009124740588417427","False","70081.79","70081.79"
"1774364400000","101193.33240986535","0.000004164442353002364","0.00550411907274763","False","69853.31","69853.31"
"1774368000000","101193.33240986535","0.000001468728104872528","0.006534715184371375","False","69860.43","69860.43"
"1774371600000","101193.33240986535","0","0.006424218573362347","False","69449.32","69449.32"
"1774375200000","101193.33240986535","0","0.006456946348855829","False","69207.5","69207.5"
"1774378800000","101193.33240986535","0","0.006452102920593472","False","69401.15","69401.15"
"1774382400000","101193.33240986535","0","0.006441206338856848","False","69335.16","69335.16"
"1774386000000","101193.33240986535","3.63010185335338E-07","0.006830376542160548","False","70061.97","70061.97"
"1774389600000","101193.33240986535","1.43731517647042E-07","0.00673278911949944","False","70298.03","70298.03"
"1774393200000","101193.33240986535","0.0000022708321328705987","0.004636471926767257","False","70289.06","70289.06"
"1774396800000","101193.33240986535","0.000002943415442253451","0.006231908788050505","False","70529.88","70529.88"
"1774400400000","101193.33240986535","0.0000098544204822883","0.01682050778733357","False","70809.59","70809.59"
"1774404000000","101193.33240986535","0.000013420330530570711","0.031124716243623236","False","70654.29","70654.29"
"1774407600000","101193.33240986535","0.000003883055994684867","0.03538833939523587","False","70496.93","70496.93"
"1774411200000","101193.33240986535","0.000003895812894205467","0.03955030444760066","False","70693.99","70693.99"
"1774414800000","101193.33240986535","0.0000047090250625849675","0.04467351320819169","False","70944.33","70944.33"
"1774418400000","101193.33240986535","0.000002787895592648453","0.04769105079699032","False","71090.27","71090.27"
"1774422000000","101193.33240986535","0.000001074492864755478","0.04636203090858416","False","70970.33","70970.33"
"1774425600000","101193.33240986535","0.000002152632503959963","0.04562929508060669","False","70908.56","70908.56"
"1774429200000","101193.33240986535","7.83046471322857E-08","0.03506319604412679","False","71227.96","71227.96"
"1774432800000","101193.33240986535","1.07718738588434E-10","0.020323380044956103","False","71331.01","71331.01"
"1774436400000","101193.33240986535","4.78061835733703E-10","0.016036157071057825","False","71484.98","71484.98"
"1774440000000","101193.33240986535","0.000001710476463939522","0.013655390365798327","False","71669.96","71669.96"
"1774443600000","101193.33240986535","0.000008010116402045137","0.017211378191747267","False","71711.54","71711.54"
"1774447200000","101193.33240986535","0.000002981287226377861","0.017423985892277057","False","71566.33","71566.33"
"1774450800000","101193.33240986535","6.43721539870543E-07","0.016919009295210438","False","71221.35","71221.35"
"1774454400000","101193.33240986535","7.81448245762314E-07","0.015400426560345832","False","70817.87","70817.87"
"1774458000000","101193.33240986535","6.42592713068152E-07","0.01609137995048125","False","71309.34","71309.34"
"1774461600000","101193.33240986535","2.13602512784409E-07","0.016348508075254307","False","70754.29","70754.29"
"1774465200000","101193.33240986535","1.97225735665347E-07","0.01660146463796577","False","70788.37","70788.37"
"1774468800000","101193.33240986535","0.000001749529644024488","0.016706198781504856","False","70855.5","70855.5"
"1774472400000","101193.33240986535","7.3630874197196E-07","0.008755723827512232","False","70985.05","70985.05"
"1774476000000","101193.33240986535","1.92506338072087E-07","0.005692615641654614","False","71011.34","71011.34"
"1774479600000","101193.33240986535","2.64023165376266E-07","0.005253694050608929","False","71349.99","71349.99"
"1774483200000","101193.33240986535","0.0000014190985941968472","0.005915380939171779","False","71309.42","71309.42"
