date,turnover,weights
2014-04-30,0.03045728491501446,"{'SPY': 0.16353228034321576, 'QQQ': 0.11010002932916947, 'TLT': 0.14426979360392916, 'IEF': 0.0523098809228536, 'TIP': 0.0, 'LQD': 0.12259711364042283, 'HYG': 0.20271959905217832, 'DBC': 0.0814817697279262, 'GLD': 0.0, 'SHY': 0.12298953338030483}"
2014-05-30,0.0030375561213656574,"{'SPY': 0.16284909674418382, 'QQQ': 0.10941878020619789, 'TLT': 0.14451529664689658, 'IEF': 0.05232972640358025, 'TIP': 0.0, 'LQD': 0.1232469484946431, 'HYG': 0.20288386626846047, 'DBC': 0.08132742438924687, 'GLD': 0.0, 'SHY': 0.12342886084679114}"
2014-06-30,0.010403289016745684,"{'SPY': 0.16425995018284928, 'QQQ': 0.10840241361046496, 'TLT': 0.14585711554281827, 'IEF': 0.05162731451339685, 'TIP': 0.0, 'LQD': 0.12212203035463495, 'HYG': 0.2014485018269658, 'DBC': 0.08040484094829317, 'GLD': 0.0, 'SHY': 0.12587783302057684}"
2014-07-31,0.008818640913650831,"{'SPY': 0.16521082091835804, 'QQQ': 0.10850372660961183, 'TLT': 0.14784971563471339, 'IEF': 0.05006660066855273, 'TIP': 0.0, 'LQD': 0.11967424438793818, 'HYG': 0.2010476811816813, 'DBC': 0.08084284920701602, 'GLD': 0.0, 'SHY': 0.12680436139212867}"
2014-08-29,0.03729961005880494,"{'SPY': 0.15746490559549578, 'QQQ': 0.10726462983411927, 'TLT': 0.14187693447946462, 'IEF': 0.05508799858888951, 'TIP': 0.006106660482643147, 'LQD': 0.12354626136893501, 'HYG': 0.20148039319426678, 'DBC': 0.08405986683985618, 'GLD': 0.0, 'SHY': 0.12311234961632972}"
2014-09-30,0.03266880807961119,"{'SPY': 0.1508675642383848, 'QQQ': 0.10983925788839269, 'TLT': 0.14368613266171462, 'IEF': 0.05949363987341967, 'TIP': 0.00473845789726343, 'LQD': 0.12241830614399453, 'HYG': 0.19508480680690374, 'DBC': 0.09160480335860827, 'GLD': 0.0, 'SHY': 0.12226703113131841}"
2014-10-31,0.04770151947706537,"{'SPY': 0.14642146593585376, 'QQQ': 0.10709138527987164, 'TLT': 0.13487347609687345, 'IEF': 0.06568388036784376, 'TIP': 0.01588790898334884, 'LQD': 0.12406436114026378, 'HYG': 0.19437375978256066, 'DBC': 0.09646981652036218, 'GLD': 0.0, 'SHY': 0.11513394589302205}"
2014-11-28,0.09104627903071039,"{'SPY': 0.14626669482394639, 'QQQ': 0.11410635824734669, 'TLT': 0.1476275453366906, 'IEF': 0.07358335992473707, 'TIP': 0.004016789888494188, 'LQD': 0.10919280832814665, 'HYG': 0.1757480632860846, 'DBC': 0.10489402506116391, 'GLD': 0.0, 'SHY': 0.12456435510338999}"
2014-12-31,0.05920404929596624,"{'SPY': 0.1473109431403828, 'QQQ': 0.09909503486330891, 'TLT': 0.1396227808830428, 'IEF': 0.07488857769463904, 'TIP': 0.003526843478485188, 'LQD': 0.11627906123718344, 'HYG': 0.19591436893869263, 'DBC': 0.1008583651321861, 'GLD': 0.0, 'SHY': 0.12250402463207931}"
2015-01-30,0.09470542228687895,"{'SPY': 0.15948225605336758, 'QQQ': 0.08465037288090073, 'TLT': 0.1525167446452239, 'IEF': 0.059796428712250806, 'TIP': 0.0, 'LQD': 0.10947539388773254, 'HYG': 0.21820180340696615, 'DBC': 0.09490024994787456, 'GLD': 0.0, 'SHY': 0.1209767504656838}"
2015-02-27,0.01815172297147119,"{'SPY': 0.1617882186665297, 'QQQ': 0.08848601159332724, 'TLT': 0.14845982472752425, 'IEF': 0.05575812986685231, 'TIP': 0.0, 'LQD': 0.10941715535700691, 'HYG': 0.22105796855215368, 'DBC': 0.09397784575596277, 'GLD': 0.0, 'SHY': 0.12105484548064326}"
2015-03-31,0.010091402369746615,"{'SPY': 0.16228689142919145, 'QQQ': 0.08861191118683856, 'TLT': 0.14850428414053538, 'IEF': 0.052377107116723484, 'TIP': 0.0, 'LQD': 0.1080693274749193, 'HYG': 0.22416063191229665, 'DBC': 0.09525185181150889, 'GLD': 0.0, 'SHY': 0.12073799492798636}"
