date,regime,weights,controls,realizedVol60d,turnover
2016-10-31,Expansion,"{'SPY': 0.35, 'QQQ': 0.00718738457811232, 'IWM': 0.12946833989336273, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.06215154857032168, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.014001080649155504, 'HYG': 0.13347566811605066, 'DBC': 0.26490367625195815, 'GLD': 0.0, 'SHY': 0.03881230194103909}",[],0.07280094301527769,0.34168468301071264
2016-11-30,Expansion,"{'SPY': 0.34298124229723403, 'QQQ': 0.018422397708160277, 'IWM': 0.16603124351544957, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.024440595781516923, 'IEF': 0.02081640939008195, 'TIP': 0.0, 'LQD': 0.033011323634960364, 'HYG': 0.1149052589619345, 'DBC': 0.24635543060361995, 'GLD': 0.0, 'SHY': 0.03303609810704236}",[],0.08387790342743874,0.17524913825604338
2016-12-30,Expansion,"{'SPY': 0.35, 'QQQ': 0.0, 'IWM': 0.1826885289752762, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.034157545017829326, 'IEF': 0.026658180284890556, 'TIP': 0.0, 'LQD': 0.04398621370486915, 'HYG': 0.07458379284422678, 'DBC': 0.25526562620713955, 'GLD': 0.0, 'SHY': 0.03266011296576855}",[],0.06906030409287878,0.1182396979342838
2017-01-31,Expansion,"{'SPY': 0.3350755015981567, 'QQQ': 0.012058408801356212, 'IWM': 0.19017952880287073, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.020414142897771066, 'IEF': 0.05147540308822505, 'TIP': 0.0, 'LQD': 0.05256181981492929, 'HYG': 0.06581853350471371, 'DBC': 0.24352028576232687, 'GLD': 0.0, 'SHY': 0.028896375729650137}",[],0.06850361963997996,0.10588447508469107
2017-02-28,Expansion,"{'SPY': 0.2973795817103041, 'QQQ': 0.029285388208933477, 'IWM': 0.1988107906592871, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.0064177064984771446, 'IEF': 0.06960920081173819, 'TIP': 0.0022002915963569647, 'LQD': 0.06361611274340562, 'HYG': 0.07777660848810164, 'DBC': 0.23039624762597466, 'GLD': 0.0, 'SHY': 0.024508071657421304}",[],0.05388871838061783,0.13840939699145555
2017-03-31,Expansion,"{'SPY': 0.29571771107836464, 'QQQ': 0.022875038096091843, 'IWM': 0.21027953159147048, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.005874823155622167, 'IEF': 0.07742223019752606, 'TIP': 0.0, 'LQD': 0.06616482078973454, 'HYG': 0.06409479140490634, 'DBC': 0.23404101024975113, 'GLD': 0.0, 'SHY': 0.02353004343653295}",[],0.06243657841785767,0.05095048197615332
2017-04-28,Expansion,"{'SPY': 0.26890502082074846, 'QQQ': 0.049784491749707616, 'IWM': 0.20612625220711303, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.0, 'IEF': 0.08464573638916947, 'TIP': 0.004287554667855757, 'LQD': 0.07003650910877167, 'HYG': 0.05, 'DBC': 0.22680953551067493, 'GLD': 0.0, 'SHY': 0.03940489954595913}",['HYG cap'],0.06167439537990953,0.11633411788315659
2017-05-31,Expansion,"{'SPY': 0.2756662233897019, 'QQQ': 0.030911078427351787, 'IWM': 0.2240792417392943, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.0019177398167017795, 'IEF': 0.08497144008270648, 'TIP': 0.0, 'LQD': 0.06968373819112433, 'HYG': 0.05, 'DBC': 0.23372760334293377, 'GLD': 0.0, 'SHY': 0.0290429350101857}",['HYG cap'],0.06344622616046187,0.06775140688726472
2017-06-30,Expansion,"{'SPY': 0.315025232634594, 'QQQ': 0.0, 'IWM': 0.21951611110395747, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.022754834034038125, 'IEF': 0.06827174068302345, 'TIP': 0.0, 'LQD': 0.05092479648679275, 'HYG': 0.04728476570732712, 'DBC': 0.2508691932023956, 'GLD': 0.0, 'SHY': 0.025353326147871363}",[],0.05923836854243932,0.15467538664338068
2017-07-31,Expansion,"{'SPY': 0.3033232232615896, 'QQQ': 0.021767630606431814, 'IWM': 0.21607616514414307, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.009865025754639397, 'IEF': 0.07896100019821994, 'TIP': 0.0, 'LQD': 0.06124549424534556, 'HYG': 0.046272206102056304, 'DBC': 0.23844268635807853, 'GLD': 0.0, 'SHY': 0.024046568329495876}",[],0.057418530848562875,0.08555517576036197
