date,value
2021-05-10,-0.01933785337578353
2021-05-11,-0.02150858165152414
2021-05-12,-0.03564853838956772
2021-05-13,-0.030843661397696565
2021-05-14,-0.019473304853612428
2021-05-17,-0.01922891935316373
2021-05-18,-0.023677943971466497
2021-05-19,-0.02677906825591303
2021-05-20,-0.020433163430724655
2021-05-21,-0.0203871733742903
2021-05-24,-0.013236114451958825
2021-05-25,-0.01424908144985726
2021-05-26,-0.011051732955945748
2021-05-27,-0.009142228780980366
2021-05-28,-0.008500423322855721
2021-06-01,-0.0059867926098756685
2021-06-02,-0.003738249663410631
2021-06-03,-0.011349409432656166
2021-06-04,-0.0018053417738987942
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,-0.0020509680548622677
2021-06-10,0.0
2021-06-11,0.0
2021-06-14,0.0
2021-06-15,-0.0031845104578539507
2021-06-16,-0.008575173696865779
2021-06-17,-0.013389005874066107
2021-06-18,-0.022530970179734267
2021-06-21,-0.010688225534916773
2021-06-22,-0.0065086395745332926
2021-06-23,-0.005876415572093174
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,-0.00025515447074209163
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-06,-0.004231127279926583
2021-07-07,-0.004762237394596136
2021-07-08,-0.009606995202125268
2021-07-09,0.0
2021-07-12,0.0
2021-07-13,-0.0033499469560731576
2021-07-14,-0.0045282454081821966
2021-07-15,-0.008533726561035127
2021-07-16,-0.015790722148103287
2021-07-19,-0.029180946355445547
2021-07-20,-0.01573740804378765
2021-07-21,-0.007050224489678514
2021-07-22,-0.006338645486799965
2021-07-23,0.0
2021-07-26,0.0
2021-07-27,-0.006089928941584666
2021-07-28,-0.0022294202011909903
2021-07-29,0.0
2021-07-30,-0.005219012926184097
2021-08-02,-0.008116503417661902
2021-08-03,-0.003893620435790557
2021-08-04,-0.008948048325851499
2021-08-05,-0.0015180713493770925
2021-08-06,-0.004341157573100052
2021-08-09,-0.008487000859721983
2021-08-10,-0.007175018956800949
2021-08-11,-0.003510434236863924
2021-08-12,-0.0022673513402549084
2021-08-13,-0.0012185193009310868
2021-08-16,-0.001433810907868649
2021-08-17,-0.008789499549089141
2021-08-18,-0.017102495722405298
2021-08-19,-0.019060654750577832
2021-08-20,-0.013822748388398143
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,-0.005655109542014758
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,-0.00063235341357748
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-07,-0.00535939860406498
2021-09-08,-0.0075109224781025885
2021-09-09,-0.009946102317277994
2021-09-10,-0.014986163941244746
2021-09-13,-0.012059955476217521
2021-09-14,-0.015835434954576844
2021-09-15,-0.008976473384154082
2021-09-16,-0.012260578461466443
2021-09-17,-0.018857123772369255
2021-09-20,-0.03293779382322137
2021-09-21,-0.03188856165441989
2021-09-22,-0.023600386756860714
2021-09-23,-0.014637180713405695
2021-09-24,-0.014421857056603371
2021-09-27,-0.013283923726206459
2021-09-28,-0.03138388074629739
2021-09-29,-0.03160179445038569
2021-09-30,-0.03613829348385522
2021-10-01,-0.03006303978212488
2021-10-04,-0.03481715521725259
2021-10-05,-0.03512303704430508
2021-10-06,-0.03191590256999899
2021-10-07,-0.03345748315951391
2021-10-08,-0.036376575021121904
2021-10-11,-0.0399449123500103
2021-10-12,-0.03507874284318768
2021-10-13,-0.02835339583837082
2021-10-14,-0.021579420817530837
2021-10-15,-0.024255674279772932
2021-10-18,-0.022256716462012882
2021-10-19,-0.023575209489171467
2021-10-20,-0.023351187840470078
2021-10-21,-0.023295637478871756
2021-10-22,-0.020257822735863074
2021-10-25,-0.0172753150902073
2021-10-26,-0.01562996189698873
2021-10-27,-0.010328695029038104
2021-10-28,-0.008697737855906884
2021-10-29,-0.008217562491905528
2021-11-01,-0.008606403021167774
2021-11-02,-0.006020924981383846
2021-11-03,-0.008206108836656623
2021-11-04,-0.0005398731126088352
2021-11-05,0.0
2021-11-08,-0.0008754195716056401
2021-11-09,0.0
